horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,MAE_persistence,RMSE_persistence,R2_persistence,MAE_improvement_vs_persistence_%,beats_persistence
1,persistence,Persistence,23150,5788,3.700708362128542,5.8064271784918855,0.9794258260661401,3.700708362128542,5.8064271784918855,0.9794258260661401,0.0,False
7,persistence,Persistence,23145,5787,14.868290997062381,22.60805608474288,0.6880922081773259,14.868290997062381,22.60805608474288,0.6880922081773259,0.0,False
27,persistence,Persistence,23129,5783,13.947138163582913,20.43713212589734,0.7451465636927397,13.947138163582913,20.43713212589734,0.7451465636927397,0.0,False
81,persistence,Persistence,23086,5772,18.122089397089393,26.455880698388658,0.5732349255020919,18.122089397089393,26.455880698388658,0.5732349255020919,0.0,False
180,current_only,HistGradientBoosting,23007,5752,20.098386839150482,27.770989201482152,0.5306276823612721,20.964655771905427,30.637321440616066,0.42873665365574243,4.132044628730921,True
365,current_only,HistGradientBoosting,22859,5715,24.384482378825766,31.70906226233548,0.38924694441922625,25.737585301837267,36.14969715709152,0.20620533154380372,5.257303306207637,True
730,current_only,Ridge,22567,5642,32.11488240462643,38.797500065714644,0.08993356409030562,34.98645870258774,45.6194581305009,-0.25824686564451604,8.207679212040167,True
