horizon_days,cycle_state,MAE,median_AE,n
1,falling,2.517970857936601,1.4042977235690088,1102
1,plateau,1.9651912568658105,1.041192517570586,2176
1,rising,4.721085831751823,3.3970280304075544,2437
7,falling,8.749659156959602,5.695249659677465,1096
7,plateau,6.871146896083828,3.1204007974666297,2181
7,rising,16.275975586055875,12.569176653762781,2437
27,falling,10.148177725715147,7.379454255407751,1076
27,plateau,7.687380121181267,3.8077304407501202,2197
27,rising,19.14129063055261,15.50724951514286,2437
81,falling,9.543710473289414,7.036947159486445,1022
81,plateau,9.560254777112641,6.024663615436339,2009
81,rising,25.39080721583978,22.278129706660394,1961
180,falling,9.01693692388869,6.90605397163425,923
180,plateau,12.945747472094823,8.028489944824571,2009
180,rising,25.260837182972896,20.438916375831937,2060
365,falling,7.880506410583582,5.209068591887657,913
365,plateau,16.80599389736406,15.041508131832614,1948
365,rising,27.69797912343705,23.57652857167335,2131
730,falling,8.875418689473383,7.144160296640308,913
730,plateau,22.206086050972676,21.352346849174808,2121
730,rising,34.070596419495075,31.74873734465278,1958
