date,f107_now,carrington_rotation,monthly_f107,sma_13_past,slope_12m,volatility_13m,cycle_state_falling,cycle_state_plateau,cycle_state_rising,activity_level_high,activity_level_low,activity_level_medium,volatility_state_high,volatility_state_normal
1947-04-20,157.2,1252.2651999999998,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-21,159.2,1252.3019,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-22,167.2,1252.3386,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-23,189.0,1252.3753,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-24,229.5,1252.412,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-25,240.6,1252.4487,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-26,300.4,1252.4854,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-27,292.9,1252.52215,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-28,285.4,1252.5589,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-29,298.3,1252.5956,238.0790322580645,,,,0,1,0,0,0,1,0,1
1947-04-30,296.2,1252.6323,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-01,262.7,1252.669,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-02,269.3,1252.7057,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-03,276.9,1252.7425,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-04,272.0,1252.7792,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-05,267.1,1252.8159,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-06,223.5,1252.8526,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-07,240.2,1252.8894,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-08,230.6,1252.9261,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-09,224.6,1252.9628,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-10,226.0,1252.9996,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-11,233.15,1253.0363000000002,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-12,240.3,1253.073,258.75333333333333,,,,0,1,0,0,0,1,0,1
1947-05-13,261.2,1253.1098,258.75333333333333,,,,0,1,0,0,0,1,0,1
